Factory_Name,Factory_Type,Product_Type,Brands,Occasion,Supplier_Group,City,State,Country,Total_Workers,Line_Workers,Percent_Female_Workers,Percent_Migrant_Workers
"A & K DESIGNS, INC.",FINISHED GOODS,APPAREL,NIKE,Collegiate,A & K DESIGNS,PORTLAND,OREGON,USA,108,94,0.70,0.00
A. FIRST VINA CO. LTD.,FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",,A. FIRST VINA CO. LTD.,BIEN HOA,DONG NAI,VIETNAM,1958,1844,0.88,0.06
"ACABADOS Y SERIGRAFIA, SA (ACSA)",FINISHED GOODS,APPAREL,HURLEY,,NO SUPPLIER GROUP,MIXCO,GUATEMALA,GUATEMALA,140,130,0.31,0.00
ADORA FOOTWEAR LIMITED,FINISHED GOODS,FOOTWEAR,CONVERSE,,HONG FU,TAM DIEP TOWN,NINH BINH PROVINCE.,VIETNAM,7678,6736,0.90,0.14
AIRTEX,FINISHED GOODS,EQUIPMENT,NIKE,,"STX, LLC",MINNEAPOLIS,MINNESOTA,USA,72,42,0.69,0.00
AJARA TEXTILE,FINISHED GOODS,APPAREL,NIKE,,MILTEKS,POTI,SAMEGRELO-ZEMO SVANETI,GEORGIA,631,624,0.99,0.00
ALL WELLS INTERNATIONAL,FINISHED GOODS,EQUIPMENT,NIKE,,ALL WELLS INTERNATIONAL,BA RIA,VUNG TAU PROVINCE,VIETNAM,5446,3685,0.80,0.48
ALMAXTEX TEKSTIL,FINISHED GOODS,APPAREL,"NIKE, CONVERSE",,YESIM,BURSA,BURSA,TURKEY,2426,1658,0.48,0.00
ANDBRAVA SRL,FINISHED GOODS,EQUIPMENT,CONVERSE,,NO SUPPLIER GROUP,BUENOS AIRES ,BUENOS AIRES ,ARGENTINA,7,5,0.14,0.00
ANHUI COSMO SPORTING GOODS COMPANY LIMITED,FINISHED GOODS,EQUIPMENT,NIKE,,ANHUI COSMO,LU'AN CITY,ANHUI,CHINA,366,304,0.89,0.00
ANIGER CALÇADOS SUPRIMENTOS E EMPREENDIMENTOS LTDA,FINISHED GOODS,FOOTWEAR,NIKE,,ANIGER,CAMPO BOM – RS,RS,BRAZIL,445,218,0.48,0.00
ANNIC LLC,FINISHED GOODS,APPAREL,NIKE,Collegiate,GILDAN,MASATEPE,,NICARAGUA,4011,3433,0.50,0.00
ANNORA VIETNAM FOOTWEAR,FINISHED GOODS,FOOTWEAR,"NIKE, CONVERSE",,HONG FU,TINH GIA DISTRICT,THAN HOA,VIETNAM,13722,11525,0.92,0.03
ANTLER FABRIC PRINTERS (PVT) LTD,FINISHED GOODS,APPAREL,NIKE,,MAS HOLDINGS,PILIYANDALA,SRI LANKA,SRI LANKA,903,603,0.43,0.00
ANVIL KNITWEAR HONDURAS,MATERIALS,MATERIALS,NIKE,,GILDAN,NACO QUIMISTAN,SANTA BARBARA,HONDURAS,,,0.00,0.00
ARTFX CONCORD,FINISHED GOODS,APPAREL,NIKE,Collegiate,TEGRA,CONCORD,NORTH CAROLINA,USA,114,106,0.52,0.08
ARTFX DALLAS,FINISHED GOODS,APPAREL,NIKE,Collegiate,TEGRA,WEST IRVING,TEXAS,USA,87,80,0.60,0.04
ARTFX INC,FINISHED GOODS,APPAREL,NIKE,Collegiate,TEGRA,NORFOLK,VIRGINIA,USA,534,496,0.35,0.08
ASENA 3 TEXTIL S.R.L.,FINISHED GOODS,APPAREL,"NIKE, CONVERSE",,YESIM,CEADIR LUNGA,,MOLDOVA,335,317,0.92,0.00
ASENA 4,FINISHED GOODS,APPAREL,"NIKE, CONVERSE",,YESIM,"KONGAZ,COMRAT ",,MOLDOVA,387,375,0.95,0.00
ASENA TEXTILE,FINISHED GOODS,APPAREL,"NIKE, CONVERSE",,YESIM,KAZAYAK,CEADIR LUNGA ,MOLDOVA,283,259,0.93,0.00
ASENA-TEXTIL S.R.L.,FINISHED GOODS,APPAREL,"NIKE, CONVERSE",,YESIM,CEADIR-LUNGA,,MOLDOVA,354,346,0.93,0.00
ASIA GARMENT MANUFACTURER (VN),FINISHED GOODS,APPAREL,NIKE,,ESQUEL,BIEN HOA,DONG NAI,VIETNAM,2242,1912,0.82,0.00
ATELIER DE COSTURA GIOLA,FINISHED GOODS,FOOTWEAR,CONVERSE,,NO SUPPLIER GROUP,PRESIDENTE LUCENA,RS,BRAZIL,33,32,0.90,0.00
ATOMS,FINISHED GOODS,EQUIPMENT,NIKE,,ATOMS,SAKURAI,NARA PREFECTURE,JAPAN,6,3,0.50,0.00
AURORA INDUSTRIAL(VIETNAM) FOOTWEAR,FINISHED GOODS,FOOTWEAR,CONVERSE,,HONG FU,HAIPHONG,,VIETNAM,7495,6337,0.86,0.01
BADGE PROMOTIONS BV,FINISHED GOODS,APPAREL,NIKE,,EUROCAP,WOERDEN,,NETHERLANDS,15,12,0.35,0.00
BAIKSAN CO. LTD.,MATERIALS,MATERIALS,NIKE,,BAIKSAN,SIHEUNG-SI,BUSAN,SOUTH KOREA,,,0.00,0.00
BAIKSAN INDONESIA,MATERIALS,MATERIALS,NIKE,,BAIKSAN,TANGERANG,BANTEN,INDONESIA,,,0.00,0.00
BAIKSAN VIETNAM,MATERIALS,MATERIALS,NIKE,,BAIKSAN,HUYEN TAN UYEN & BEN CAT,BINH DUONG,VIETNAM,,,0.00,0.00
"BC GRAPHICS, INC",FINISHED GOODS,APPAREL,NIKE,Collegiate,BC GRAPHICS INC.,PORTLAND,OR,USA,31,24,0.59,0.00
BEST WALLET & CO SRL,FINISHED GOODS,APPAREL,NIKE,,NO SUPPLIER GROUP,SEREGNO,LOMBARDIA,ITALY,16,13,0.60,0.00
BIG GAME SPORTS,FINISHED GOODS,EQUIPMENT,NIKE,Collegiate,NO SUPPLIER GROUP,DALLAS,TEXAS,USA,39,31,0.20,0.45
BLUE STAR GRAPHICS,FINISHED GOODS,APPAREL,NIKE,,BLUE STAR,DALLAS,TEXAS,USA,49,42,0.63,0.00
BODYLINE (PRIVATE) LIMITED - BALANGODA,FINISHED GOODS,APPAREL,NIKE,,MAS HOLDINGS,BALANGODA,SRI LANKA,SRI LANKA,1200,745,0.83,0.00
BODYLINE (PVT) LIMITED,FINISHED GOODS,APPAREL,"NIKE, HURLEY",Collegiate,MAS HOLDINGS,HORANA,WESTERN PROVINCE,SRI LANKA,5878,3170,0.78,0.00
BODYLINE (PVT) LIMITED (BPL II),FINISHED GOODS,APPAREL,NIKE,,MAS HOLDINGS,AGALAWATTA,WESTERN PROVINCE,SRI LANKA,2193,1528,0.85,0.00
BODYLINE PRIVATE LIMITED III,FINISHED GOODS,APPAREL,NIKE,,MAS HOLDINGS,AGALAWATTA,SRI LANKA,SRI LANKA,1033,643,0.87,0.00
BOECK & BOECK,FINISHED GOODS,FOOTWEAR,CONVERSE,,NO SUPPLIER GROUP,PICADA-CAFÉ,RS,BRAZIL,40,39,0.92,0.00
BOKAI TEXTILE,MATERIALS,MATERIALS,NIKE,,JOY TEXTILE,NEW TAIPEI CITY,T'AI-PEI,TAIWAN,,,0.00,0.00
"BOU JIN (YANGZHOU) GARMENTS CO., LTD",FINISHED GOODS,APPAREL,NIKE,Collegiate,BOU JIN GARMENTS GROUP,YANGZHOU,JIANGSU,CHINA,891,575,0.79,0.00
BRANCH OF THUAN PHUONG EMBROIDERIES GARMENTS COMPANY LIMITED - THUAN PHUONG LONG AN FACTORY,FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",,NO SUPPLIER GROUP,CAN DUON,LONG AN,VIETNAM,1343,617,0.63,0.00
"BSN SPORTS, LLC",FINISHED GOODS,APPAREL,NIKE,,"HAT WORLD INC. DBA LIDS TEAM SPORTS A DIVISION OF GENESCO, INC",INDIANAPOLIS,INDIANA,USA,177,132,0.52,0.00
BUMCHANG DOORI,FINISHED GOODS,EQUIPMENT,NIKE,,BUMCHANG DOORI,SUNGNAM-SI,KYUNGGI-DO,SOUTH KOREA,11,10,0.45,0.00
C S ALLIANCE INTERNATIONAL COMPANY LIMITED,FINISHED GOODS,EQUIPMENT,CONVERSE,,NS SOCKS,ZHONGSAN,GUANGDONG,CHINA,194,124,0.67,0.00
C&E CONFECCOES LTDA,FINISHED GOODS,APPAREL,HURLEY,,NO SUPPLIER GROUP,SAO GABRIEL DA PALHA,ES,BRAZIL,66,58,0.55,0.00
C&W EMBROIDERY,FINISHED GOODS,APPAREL,NIKE,Collegiate,NO SUPPLIER GROUP,RIENZI,MISSISSIPPI,USA,87,75,0.84,0.00
C.C. CREATIONS,FINISHED GOODS,APPAREL,NIKE,Collegiate,NO SUPPLIER GROUP,BRYAN,TEXAS,USA,222,155,0.52,0.00
CALCETINES DE EXPORTACIÓN SAN JOSÉ S.A. DE C.V,FINISHED GOODS,APPAREL,CONVERSE,,NO SUPPLIER GROUP,PUEBLA,PUEBLA,MEXICO,15,13,0.54,0.00
CALIFORNIA TEXTILE S.A. DE C.V.,FINISHED GOODS,APPAREL,NIKE,,JOWETT,"ESPERANZA, CD OBREGON",SONORA,MEXICO,1109,1026,0.69,0.04
"CAMPECHE SPORTSWEAR, S. DE R.L.DE C.V.",FINISHED GOODS,APPAREL,"NIKE, HURLEY",,FUN TEES,SAN FRANCISCO DE CAMPECHE,CAMPECHE,MEXICO,189,95,0.44,0.00
"CAN SPORTS VIETNAM CO., LTD",FINISHED GOODS,FOOTWEAR,NIKE,,SPORTS GEAR,DUONG MINH CHAU DISTRICT,TAY NINH PROVINCE,VIETNAM,9481,7708,0.68,0.00
"CCH TOP (VN) CO., LTD.",FINISHED GOODS,APPAREL,NIKE,Collegiate,CHUAN CHENG,HO CHI MINH,HO CHI MINH,VIETNAM,2155,2076,0.85,0.58
CHANG SHIN INDONESIA,FINISHED GOODS,FOOTWEAR,NIKE,,CHANGSHIN,KARAWANG,WEST JAVA,INDONESIA,13346,11718,0.86,0.00
"CHANG SHIN VIETNAM CO., LTD",FINISHED GOODS,FOOTWEAR,NIKE,,CHANGSHIN,LONG THANH DISTRICT,DONG NAI,VIETNAM,5085,4970,0.93,0.00
"CHANG SHIN VIETNAM COMPANY, LTD.",FINISHED GOODS,FOOTWEAR,NIKE,,CHANGSHIN,DONG NAI,DONG NAI,VIETNAM,25307,24178,0.80,0.00
CHANGSHIN INC.,FINISHED GOODS,FOOTWEAR,NIKE,,CHANGSHIN,BUSAN,KOREA,SOUTH KOREA,822,290,0.37,0.00
"CHANG-TAI CO., LTD.",MATERIALS,MATERIALS,NIKE,,EVEREST,TAOYUAN,T'AI-PEI,TAIWAN,,,0.00,0.00
"CHANGZHOU ESQUEL KNITTING APPAREL CO., LTD",FINISHED GOODS,APPAREL,NIKE,,ESQUEL,CHANGZHOU,JIANGSU,CHINA,815,660,0.90,0.00
"CHENG HORNG INDUSTRIAL CO., LTD.",MATERIALS,MATERIALS,NIKE,,LITTLE KING INDUSTRIES CO. LTD.,TAOYUAN,KAO-HSIUNG,TAIWAN,,,0.00,0.00
CHUAN CHENG (YUN LIN) FACTORY,FINISHED GOODS,APPAREL,NIKE,Collegiate,CHUAN CHENG,YUAN LIN HSIEN,,TAIWAN,50,44,0.88,0.00
"CHUAN CHENG HAT CO., LTD.",FINISHED GOODS,APPAREL,"NIKE, HURLEY",Collegiate,CHUAN CHENG,TAICHUNG,"TAIWAN, R.O.C.",TAIWAN,98,84,0.77,0.20
CIGNACHI - INDÚSTRIA E COMÉRCIO LTDA,FINISHED GOODS,FOOTWEAR,CONVERSE,,NO SUPPLIER GROUP,FARROUPILHA,"RS, BRASIL",BRAZIL,33,32,0.92,0.00
COCALQUI COOPERATIVA DE TRABALHO DA INDÚSTRIA DE CALÇADOS DE QUIXERAMOBIM,FINISHED GOODS,FOOTWEAR,NIKE,,ANIGER,QUIXERAMOBIM,CEARÁ,BRAZIL,4416,4339,0.54,0.00
COLLITEX S.R.L.,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,AVERY DENNISON,ANCARANO,ABRUZZI,ITALY,406,289,0.47,0.01
CONG TIEN GARMENT JOINT STOCK COMPANY,FINISHED GOODS,APPAREL,NIKE,Collegiate,SOUTH ISLAND,GO CONG,TIEN GIANG,VIETNAM,2152,2053,0.85,0.00
"CONTOUR OPTIK (JIANGXI) CO., LTD.",FINISHED GOODS,EQUIPMENT,CONVERSE,,NO SUPPLIER GROUP,YINGTAN,JIANGXI,CHINA,54,34,0.46,1.00
COOPERATIVA TEXTIL SEUCA LTDA.,FINISHED GOODS,APPAREL,CONVERSE,,NO SUPPLIER GROUP,GUAYMALLEN,MENDOZA,ARGENTINA,35,27,0.74,0.00
COOPERSHOES - COOPERATIVA DE TRABALHO E INDUSTRIA DE CALÇADOS JOANETENSE LTDA (GARIBALDI),FINISHED GOODS,FOOTWEAR,CONVERSE,,COOPERSHOES,GARIBALDI,RIO GRANDE DO SUL,BRAZIL,124,119,0.88,0.00
COOPERSHOES - COOPERATIVA DE TRABALHO E INDUSTRIA DE CALÇADOS JOANETENSE LTDA (LAS FLORES),FINISHED GOODS,FOOTWEAR,CONVERSE,,COOPERSHOES,LAS FLORES,ARGENTINA,ARGENTINA,156,151,0.37,0.01
COOPERSHOES - COOPERATIVA DE TRABALHO E INDUSTRIA DE CALÇADOS JOANETENSE LTDA (MORADA NOVA),FINISHED GOODS,FOOTWEAR,CONVERSE,,COOPERSHOES,MORADA NOVA,CEARA,BRAZIL,2051,1888,0.77,0.00
COOPERSHOES - COOPERATIVA DE TRABALHO E INDUSTRIA DE CALÇADOS JOANETENSE LTDA (PICADA CAFÉ),FINISHED GOODS,FOOTWEAR,CONVERSE,,COOPERSHOES,PICADA CAFÉ,RS,BRAZIL,897,607,0.58,0.00
CORPORACIÓN INDYKNIT S.A.,FINISHED GOODS,APPAREL,NIKE,Collegiate,INDIANA,VILLA NUEVA,GUATEMALA,GUATEMALA,2669,1130,0.63,0.00
CROWN MANUFACTURING,FINISHED GOODS,APPAREL,NIKE,Collegiate,NO SUPPLIER GROUP,BARTLETT,TENNESSEE,USA,71,57,0.93,0.00
DAEHWA LEATHER LESTARI,MATERIALS,MATERIALS,NIKE,,DAEHWA,BEKASI,JAWA BARAT,INDONESIA,,,0.00,0.00
"DAQIAN TEXTILE (CAMBODIA) CO., LTD",FINISHED GOODS,APPAREL,NIKE,,NINGBO,PHNOM PENH,POUTHISAT,CAMBODIA,5245,5100,0.95,0.91
DASS ELDORADO SRL,FINISHED GOODS,FOOTWEAR,NIKE,,DASS,ELDORADO,MISIONES,ARGENTINA,1066,837,0.64,0.04
DASS NORDESTE  CALÇADOS E ARTIGOS ESPORTIVOS LTDA.,FINISHED GOODS,APPAREL,NIKE,,CLASSICO,VITÓRIA DA CONQUISTA,BAHIA - BA,BRAZIL,1400,917,0.72,0.00
DASS NORDESTE CALÇADOS E ARTIGOS ESPORTIVOS LTDA,FINISHED GOODS,FOOTWEAR,NIKE,,DASS,IVOTI,RS,BRAZIL,39,20,0.90,0.00
DASS NORDESTE CALÇADOS E ARTIGOS ESPORTIVOS LTDA.,FINISHED GOODS,FOOTWEAR,NIKE,,DASS,SANTO ESTEVÃO,BAHIA,BRAZIL,2972,2610,0.68,0.00
DASS NORDESTE CALÇADOS E ARTIGOS ESPORTIVOS LTDA.,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,DASS,VITORIA DA CONQUISTA,BAHIA,BRAZIL,2068,1281,0.34,0.00
DASS SUL CALÇADOS E ARTIGOS ESPORTIVOS LTDA,FINISHED GOODS,APPAREL,NIKE,,CLASSICO,SAUDADES,SC,BRAZIL,622,180,0.60,0.00
DASS SUL CALÇADOS E ARTIGOS ESPORTIVOS LTDA - VENANCIO AIRES,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,DASS,VENANCIO AIRES,RIO GRANDE DO SUL,BRAZIL,176,104,0.67,0.00
DEAN SHOES VIETNAM,FINISHED GOODS,FOOTWEAR,NIKE,,DEAN SHOES,HO CHI MINH CITY,"BINH CHIEU WARD, THU DUC DISTRICT",VIETNAM,13647,12661,0.81,0.00
"DECOTEX INTERNATIONAL, LDTA DE C.V.",FINISHED GOODS,APPAREL,NIKE,Collegiate,TEGRA,CIUDAD ARCE,LA LIBERTAD,EL SALVADOR,1115,884,0.49,0.00
DELTA ALFA CORAP VE TEKSTIL SANAYI A.S.,FINISHED GOODS,EQUIPMENT,NIKE,,DELTA,DUZCE,DUZCE,TURKEY,526,471,0.46,0.00
DELTA GALIL INDUSTRIES LTD EGYPT,FINISHED GOODS,APPAREL,NIKE,,DELTA,EL-MINYA,AL-MINUFIYAH,EGYPT,0,716,0.00,0.00
DELTA GALIL VIETNAM CO. LTD,FINISHED GOODS,EQUIPMENT,NIKE,,DELTA,BINH DINH,BINH DINH,VIETNAM,1817,1565,0.78,0.00
DELTA SOCKS LTD.,FINISHED GOODS,EQUIPMENT,NIKE,,DELTA,KARMIEL,,ISRAEL,307,138,0.57,0.00
DELTA TEXTILE BULGARIA LTD.,FINISHED GOODS,EQUIPMENT,"NIKE, CONVERSE",,DELTA,ROUSSE,,BULGARIA,610,495,0.73,0.00
DER WILL S.A.,FINISHED GOODS,EQUIPMENT,"NIKE, HURLEY",,DER WILL,BUENOS AIRES,BUENOS AIRES,ARGENTINA,93,74,0.51,0.18
DEWHIRST CAMBODIA,FINISHED GOODS,APPAREL,NIKE,,DEWHIRST,PHNOM PENH,KANDAL,CAMBODIA,2565,2125,0.82,0.00
DEWHIRST SHANTA,FINISHED GOODS,APPAREL,NIKE,,DEWHIRST,DHAKA,BANGLADESH,BANGLADESH,2660,1845,0.59,0.00
"DIACO INTERNACIONAL, S.A. DE C.V.",FINISHED GOODS,APPAREL,"NIKE, HURLEY",,NO SUPPLIER GROUP,ENSENADA,BAJA CALIFORNIA,MEXICO,763,596,0.63,0.00
DIAMANT SRL,FINISHED GOODS,FOOTWEAR,"NIKE, CONVERSE",,DIAMANT,SORGA,VERONA,ITALY,231,176,0.63,0.00
DIAMANT SRL #2,FINISHED GOODS,FOOTWEAR,"NIKE, CONVERSE",,DIAMANT,MONTEBELLUNA,VENETO,ITALY,50,48,0.73,0.00
DM LANKA HOLDING (PVT) LTD.,FINISHED GOODS,APPAREL,NIKE,,MAS HOLDINGS,MIHINTALE,,SRI LANKA,1035,655,0.78,0.00
DOMINAE SRL,FINISHED GOODS,APPAREL,CONVERSE,,NO SUPPLIER GROUP,DOSSON DI CASIER,TV,ITALY,14,13,1.00,0.00
DONA ORIENT VIETNAM,FINISHED GOODS,FOOTWEAR,NIKE,Collegiate,FENG TAY,DONG NAI,DONG NAI,VIETNAM,10541,8746,0.70,0.00
"DONA PACIFIC VIETNAM  CO., LTD.",FINISHED GOODS,FOOTWEAR,NIKE,,FENG TAY,DONG NAI,DONG NAI  PROVINCE,VIETNAM,9587,7944,0.67,0.00
"DONA STANDARD FOOTWEAR CO., LTD",FINISHED GOODS,FOOTWEAR,NIKE,Collegiate,FENG TAY,DONG NAI,DONG NAI,VIETNAM,15281,13248,0.68,0.00
"DONA VICTOR FOOTWEAR CO., LTD",FINISHED GOODS,FOOTWEAR,NIKE,,FENG TAY,TRANG BOM DISTRICT,DONG NAI,VIETNAM,9677,8186,0.68,0.00
"DONG GUAN GOLDENPRENE SPORTING GOODS CO., LTD.",FINISHED GOODS,EQUIPMENT,"NIKE, CONVERSE, HURLEY",,"SUMMITOP INDUSTRIAL CO., LTD.","LIAOBU TOWN, DONGGUAN",GUANGDONG,CHINA,1972,1500,0.59,0.00
DONG GUAN NEW PROSPERITY OPTICAL MFY LTD. CHANG AN BRANCH,FINISHED GOODS,EQUIPMENT,NIKE,,NO SUPPLIER GROUP,DONGGUAN,GUANGDONG,CHINA,98,71,0.60,0.00
DONG GUAN STELLA,FINISHED GOODS,FOOTWEAR,"NIKE, CONVERSE",Collegiate,STELLA,DONGGUAN,GUANGDONG,CHINA,373,350,0.55,0.00
"DONG PEI INDUSTRIAL CO., LTD.",MATERIALS,MATERIALS,NIKE,,RAY FABRICS (CHUNRIH RD),YANGMEI CITY,T'AI-PEI,TAIWAN,,,0.00,0.00
DONGGUAN BACUI KNITWEAR CO LTD,FINISHED GOODS,APPAREL,NIKE,Collegiate,KENT KNITTERS,DONGGUAN,GUANGDONG,CHINA,920,807,0.61,0.00
DONGGUAN LIEN HONG BAGS & SPORTS ACCESSORIES LTD.,FINISHED GOODS,EQUIPMENT,"NIKE, CONVERSE",,NO SUPPLIER GROUP,DONG GUAN,GUANGDONG,CHINA,171,154,0.50,0.11
"DONGGUAN YOUKAI INDUSTRIAL CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,,NO SUPPLIER GROUP,DONGGUAN,SHENZHEN,CHINA,18,15,0.33,1.00
"DONG-JIN TEXTILE CO., LTD.",MATERIALS,MATERIALS,NIKE,,DONG JIN,BIEN HOA,DONG NAI PROVINCE,VIETNAM,,,0.00,0.00
DONGJIN TEXTILE DYEING HOUSE,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,DONG JIN,"SA-HA GU, BUSAN",BUSAN,SOUTH KOREA,150,36,0.30,0.42
"DONGUAN LEE FONG LABEL MANUFACTURE CO., LTD",FINISHED GOODS - COMPONENTS,APPAREL,NIKE,Collegiate,LEE BOU LABEL ENTERPRISE CO,DONGGUAN CITY,GUANGDONG,CHINA,692,510,0.65,0.00
DUCKSAN YANBEOL RI,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,DUCKSAN,GWANGJU-SI,GYEONGGI,SOUTH KOREA,26,22,0.47,0.46
DYNAMIC TEAM SPORTS,FINISHED GOODS,APPAREL,NIKE,Collegiate,DYNAMIC,TORONTO,ONTARIO,CANADA,100,90,0.77,0.00
"EAGLE NICE (YIFENG) GARMENTS CO., LTD",FINISHED GOODS,APPAREL,"NIKE, CONVERSE",Collegiate,EAGLE NICE,YIFENG,JIANGXI,CHINA,2484,1486,0.94,0.10
EAST WIND FOOTWEAR COMPANY LIMITED (INDIA BRANCH),FINISHED GOODS,FOOTWEAR,CONVERSE,,FENG TAY,CHENNAI,CHENNAI,INDIA,5489,4197,0.60,0.00
ECHO MARK,FINISHED GOODS,APPAREL,NIKE,,ECHO MARK,GUNMA PREF,GUMMA,JAPAN,95,77,0.66,0.18
ECLAT TEXTILE,MATERIALS,MATERIALS,NIKE,,"ECLAT TEXTILE CO., LTD.",BA RIA VUNG TAU,BA RIA-VUNG TAU,VIETNAM,,,0.00,0.00
"ECLAT TEXTILE CO., LTD",FINISHED GOODS,APPAREL,NIKE,,ECLAT,DONG NAI,DONG NAI,VIETNAM,6331,5728,0.90,0.00
"ECLAT TEXTILE CO., LTD",MATERIALS,MATERIALS,NIKE,,"ECLAT TEXTILE CO., LTD.",TAOYUAN CITY,T'AI-WAN,TAIWAN,,,0.00,0.00
EL BARON,FINISHED GOODS,APPAREL,NIKE,Collegiate,NEW HOLLAND,SAN PEDRO SULA,CORTES,HONDURAS,2275,1887,0.51,0.01
"ELITE INVESTMENT WORLDWIDE CO., LTD",FINISHED GOODS,APPAREL,NIKE,,TUNG MUNG,HO CHI MINH  CITY,HOA BINH,VIETNAM,1596,1227,0.63,0.00
ELTA COMPANY LIMITED,FINISHED GOODS,APPAREL,NIKE,,ELTA COMPANY LIMITED,LADKRABANG,BANGKOK,THAILAND,298,244,0.78,0.00
"ESQUEL GARMENT MANUFACTURING (VIETNAM) CO., LTD",FINISHED GOODS,APPAREL,NIKE,,ESQUEL,THUAN AN,BINH DUONG,VIETNAM,5187,4603,0.73,0.00
"E-TOP (VIETNAM) CO.,LTD",FINISHED GOODS,APPAREL,NIKE,,ECLAT,"MY XUAN VILLAGE, TAN THANH DISTRICT",BA RIA – VUNG TAU PROVINCE,VIETNAM,3211,1847,0.97,0.00
EVER TECH,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,EVER TECH,TAN UYEN DISTRICT,BINH DUONG PROVINCE,VIETNAM,554,507,0.40,0.00
EVEREST TEXTILE,MATERIALS,MATERIALS,NIKE,,EVEREST,TAINAN CITY,T'AI-WAN,TAIWAN,,,0.00,0.00
EVEREST TEXTILE CHINA,MATERIALS,MATERIALS,NIKE,,EVEREST,SHANGHAI,SHANGHAI,CHINA,,,0.00,0.00
"EVEREST TEXTILE CO., LTD. ",MATERIALS,MATERIALS,NIKE,,EVEREST,RATCHABURI,CENTRAL,THAILAND,,,0.00,0.00
EVERGREEN APPAREL MFG.,FINISHED GOODS,APPAREL,NIKE,Collegiate,YY & ASSOCIATES,HILLSBORO,OREGON,USA,23,19,0.70,0.00
EVOLUCAO TEXTIL,FINISHED GOODS,APPAREL,HURLEY,,NO SUPPLIER GROUP,BLUMENAU,SC,BRAZIL,42,37,0.83,0.00
FA.IS.A. D.O.O.,FINISHED GOODS,EQUIPMENT,NIKE,,NO SUPPLIER GROUP,NOVIGRAD,ISTRIA,CROATIA,72,63,0.89,0.02
FAIRWAY ENTERPRISES COMPANY LIMITED,FINISHED GOODS,FOOTWEAR,NIKE,,FENG TAY,UTHANGARAI TALUK,TAMIL NADU,INDIA,2191,1641,0.66,0.00
FAR EASTERN,MATERIALS,MATERIALS,NIKE,,FAR EASTERN,JIANG SU,JIANGSU,CHINA,,,0.00,0.00
FAR EASTERN APPARAL (SUZHOU) LTD. CO,FINISHED GOODS,APPAREL,NIKE,Collegiate,FAR EASTERN,SUZHOU,JIANGSU,CHINA,1573,1122,0.87,0.55
FAR EASTERN APPAREL (VIETNAM) LIMITED,FINISHED GOODS,APPAREL,"NIKE, HURLEY",Collegiate,FAR EASTERN,THUAN AN,BINH DUONG,VIETNAM,4401,3439,0.81,0.00
FAR EASTERN NEW APPAREL (VIETNAM) LTD (MDC),FINISHED GOODS,APPAREL,NIKE,,FAR EASTERN,BINH PHUOC,BINH PHUOC,VIETNAM,3841,3110,0.73,0.00
FAR EASTERN NEW CENTURY CORPORATION,MATERIALS,MATERIALS,NIKE,,FAR EASTERN,TAOYUAN,T'AI-PEI,TAIWAN,,,0.00,0.00
"FASHION GARMENTS 2 CO., LTD - XUAN TAY",FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",,NO SUPPLIER GROUP,XUAN TAY,DONG NAI,VIETNAM,733,320,0.85,0.00
"FASHION GARMENTS LTD., UNIT 1",FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",,NO SUPPLIER GROUP,BIEN HOA,DONG NAI,VIETNAM,859,450,0.87,0.00
"FASHION GARMENTS LTD., UNIT 2",FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",,NO SUPPLIER GROUP,BIEN HOA,DONG NAI,VIETNAM,2233,1285,0.85,0.00
"FENG TAY ENTERPRISE CO., LTD",FINISHED GOODS,FOOTWEAR,"NIKE, CONVERSE",Collegiate,FENG TAY,DOU LIOU,YUNLIN COUNTY,TAIWAN,1799,354,0.50,0.00
FIBRAN CIA. LTDA.,FINISHED GOODS,APPAREL,NIKE,,NO SUPPLIER GROUP,QUITO,PICHINCHA,ECUADOR,698,625,0.62,0.00
"FJORD, LTD.",FINISHED GOODS,APPAREL,NIKE,Collegiate,FJORD,WOODBURN,OREGON,USA,128,90,0.88,0.00
FLEX,FINISHED GOODS,FOOTWEAR,NIKE,,FLEXTRONICS,GUADALAJARA,JALISCO,MEXICO,5943,5355,0.54,0.00
"FLEXTRONICS MANUFACTURING (ZHUHAI) CO, LTD",FINISHED GOODS,EQUIPMENT,NIKE,,FLEXTRONICS,ZHUHAI,GUANGDONG,CHINA,6325,5267,0.44,0.00
FLOCKEREI S & R,FINISHED GOODS,APPAREL,NIKE,,FLOCKEREI,SATTELDORF - GRONINGEN,BADEN-WURTTEMBERG,GERMANY,10,7,0.30,0.00
