Factory_Name,Factory_Type,Product_Type,Brands,Occasion,Supplier_Group,City,State,Country,Total_Workers,Line_Workers,Percent_Female_Workers,Percent_Migrant_Workers
PT VICTORY CHINGLUH INDONESIA,FINISHED GOODS,FOOTWEAR,NIKE,,CHINGLUH,TANGERANG,BANTEN,INDONESIA,15116,13582,0.75,0.00
PT YONGJIN JAVASUKA,FINISHED GOODS,APPAREL,NIKE,Collegiate,HOJEON,SUKABUMI,CENTRAL JAVA,INDONESIA,1750,1009,0.84,0.01
PT YOU YOUNG SU INDONESIA,MATERIALS,MATERIALS,"NIKE, CONVERSE",,YOU YOUNG,TANGERANG,BANTEN,INDONESIA,,,0.00,0.00
PT YOUNGIL LEATHER INDONESIA,MATERIALS,MATERIALS,"NIKE, CONVERSE",,YOUNG IL,TANGERANG,BANTEN,INDONESIA,,,0.00,0.00
PT. ADIS DINAMIKA SENTOSA,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,SHOETOWN,MAJALENGKA,WEST JAVA,INDONESIA,2671,2053,0.64,0.01
PT. CCH INDONESIA,FINISHED GOODS,APPAREL,NIKE,,CHUAN CHENG,BANDUNG BARAT,"JAWA BARAT, WEST JAVA",INDONESIA,986,910,0.72,0.00
PT. FENG TAY INDONESIA ENTERPRISES,FINISHED GOODS,FOOTWEAR,NIKE,,FENG TAY,BANDUNG,WEST JAVA,INDONESIA,12617,10531,0.65,0.00
PT. GRAND BEST INDONESIA,FINISHED GOODS,APPAREL,NIKE,,TUNG MUNG,SEMARANG,JAWA TENGAH,INDONESIA,2307,2070,0.93,0.00
PT. KANINDO MAKMUR JAYA,FINISHED GOODS,EQUIPMENT,"NIKE, CONVERSE, HURLEY",Collegiate,KANAAN,"JEPARA, CENTRAL JAVA",CENTRAL JAVA,INDONESIA,5368,5084,0.78,0.00
PT. POU YUEN INDONESIA,FINISHED GOODS,FOOTWEAR,"NIKE, CONVERSE",,POU CHEN,CIANJUR,JAWA BARAT,INDONESIA,7757,6281,0.62,0.00
PT. SEO HEUNG INDONESIA,FINISHED GOODS,FOOTWEAR,NIKE,,CHANGSHIN,KARAWANG,JAWA BARAT,INDONESIA,1899,1667,0.74,0.00
PT. TK INDUSTRIAL INDONESIA,FINISHED GOODS,FOOTWEAR,NIKE,,TAEKWANG,"BELENDUNG, CIBOGO",WEST JAVA,INDONESIA,16795,14508,0.94,0.00
PT. YC TEC INDONESIA,FINISHED GOODS,FOOTWEAR,NIKE,,NO SUPPLIER GROUP,CIBATU KABUPATEN PURWAKARTA,JAWA BARAT,INDONESIA,455,444,0.60,0.02
"QING XIN GUANG JIAN SHOETOWN FOOTWEAR CO., LTD",FINISHED GOODS,FOOTWEAR,NIKE,Collegiate,SHOETOWN,QINGYUAN CITY,GUANGDONG,CHINA,1092,1009,0.88,0.07
"QING YUAN CITY SHOETOWN FOOTWEAR CO.,LTD",FINISHED GOODS,FOOTWEAR,NIKE,Collegiate,SHOETOWN,QINGYUAN CITY,GUANGDONG,CHINA,11821,8551,0.80,0.41
QINGDAO CHANGSHIN JIMO FACTORY,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,CHANGSHIN,"JIMO, QINGDAO",SHANDONG,CHINA,571,468,0.44,0.00
"QINGDAO CHANGSHIN SHOES CO., LTD.",FINISHED GOODS,FOOTWEAR,NIKE,,CHANGSHIN,QINGDAO,SHANDONG,CHINA,4603,3895,0.87,0.01
"QINGDAO TAEHWA SHOES CO., LTD",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,TAEKWANG,LAIXI CITY,SHANDONG,CHINA,708,677,0.89,0.00
"QINGDAO TAEJIN SHOES CO., LTD",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,TAEKWANG,JIMO CITY,SHANDONG,CHINA,516,483,0.97,0.00
"QINGDAO TAEKWANG SHOES CO., LTD",FINISHED GOODS,FOOTWEAR,NIKE,,TAEKWANG,QINGDAO,SHANDONG,CHINA,4260,3751,0.81,0.00
"QINGDAO YANTAI NE APPAREL CO.,LTD",FINISHED GOODS,APPAREL,"NIKE, CONVERSE",,NICE APPAREL,YANTAI,SHANDONG,CHINA,929,775,0.88,0.00
"QINGDAO YOUNGONE SPORTSWEAR CO.,LD",FINISHED GOODS,APPAREL,"NIKE, CONVERSE",,YOUNGONE,QINGDAO,SHANDONG,CHINA,2106,1581,0.89,0.00
QUANG VIET (TIEN GIANG) CO LTD,FINISHED GOODS,APPAREL,NIKE,,QUANG VIET,TIEN GIANG,TIEN GIANG,VIETNAM,6105,5594,0.90,0.00
